display_title,opening_date,close_date,sentiment_score,production_budget,limited_opening_weekend_total_gross,wide_release_opening_weekend_total_gross,domestic_total_gross,foreign_total_gross,worldwide_total_gross,days_in_release,weeks_in_release,limited_release_theater,wide_release_theater,limited_release_dummy,wide_release_dummy,metacritic_score,user_score,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
Beauty and the Beast,3/17/2017,7/12/2017,0.980820931,160000000,0,174750616,504014165,759506961,1263521126,119,17,,4210,0,1,65,6.8,,,,,,,,,,,
Blade Runner 2049,10/6/2017,2/1/2018,0.997234936,150000000,0,32753122,92054159,167185499,259239658,119,17,,4058,0,1,81,8.1,,,,,,,,,,,
Justice League,11/17/2017,3/15/2018,0.364748352,0,0,93842239,229024295,428900000,657924295,119,17,,4051,0,1,45,6.7,,,,,,,,,,,
Pirates of the Caribbean: Dead Men Tell No Tales,5/26/2017,9/21/2017,0.006018927,230000000,0,62983253,172558876,622302918,794861794,119,17,,4276,0,1,39,6.2,,,,,,,,,,,
The Fate of the Furious,4/14/2017,8/10/2017,0.971771982,250000000,0,98786705,226008385,1009996733,1236005118,199,17,,4329,0,1,56,6.9,,,,,,,,,,,
The Lego Batman Movie,2/10/2017,6/8/2017,0.948760605,80000000,0,53003468,175750384,136200000,311950384,119,17,,4088,0,1,75,7.6,,,,,,,,,,,
The Big Sick,7/14/2017,10/22/2017,0.699095636,0,421577,7563040,42873127,13227885,56101012,122,17.4,5,2597,1,0,86,6.9,,,,,,,,,,,
Dunkirk,7/21/2017,11/23/2017,0.999074015,100000000,0,50513488,188373161,337200000,525573161,126,18,,4014,0,1,94,8.4,,,,,,,,,,,
The Emoji Movie,7/28/2017,11/30/2017,0.055979467,50000000,0,24531923,86089513,131165718,217255231,126,18,,4075,0,1,12,1.9,,,,,,,,,,,
Wind River,8/4/2017,12/7/2017,0.988745723,11000000,161558,2975732,33800859,0,33800859,126,18,4,2890,1,0,73,7.7,,,,,,,,,,,
"Three Billboards Outside Ebbing, Missouri",11/10/2017,,0.710928004,0,322168,4396537,53697624,91056924,144754548,127,18.1,4,1726,1,0,88,7.5,,,,,,,,,,,
Lady Bird,11/3/2017,,0.742620673,0,364437,4057559,48777265,16200000,64977265,133,19,4,1557,1,0,94,7.3,,,,,,,,,,,
Logan,3/3/2017,7/13/2017,0.691398619,97000000,0,88411916,226277068,390518532,616795600,133,19,,4071,0,1,77,8.4,,,,,,,,,,,
Thor: Ragnarok,11/3/2017,3/15/2018,0.718580371,180000000,0,122744989,315058289,539194404,854252693,133,19,,4080,0,1,74,7.7,,,,,,,,,,,
Cars 3,6/16/2017,11/2/2017,0.978736373,0,0,53688680,152901115,230988036,383889151,140,20,,4256,0,1,59,6.9,,,,,,,,,,,
Gifted,4/7/2017,8/24/2017,0.68094886,7000000,446380,3090633,24801212,18245378,43046590,140,20,56,2215,1,0,60,7.6,,,,,,,,,,,
Guardians of the Galaxy Vol. 2,5/5/2017,9/21/2017,0.920377578,200000000,0,146510104,389813101,473942950,863756051,140,20,,4347,0,1,67,7.7,,,,,,,,,,,
War for the Planet of the Apes,7/14/2017,11/30/2017,0.999839619,150000000,0,56262929,146880162,343784076,490664238,140,20,,4100,0,1,82,8.1,,,,,,,,,,,
Spider-Man: Homecoming,7/7/2017,11/30/2017,0.20219816,175000000,0,117027503,334201140,545965784,880166924,147,21,,4348,0,1,73,7.7,,,,,,,,,,,
Captain Underpants: The First Epic Movie,6/2/2017,11/2/2017,0.918267537,38000000,0,23851539,73921000,51506681,125427681,161,23,,3529,0,1,69,6.8,,,,,,,,,,,
Wonder Woman,6/2/2017,2/9/2017,0.965885716,149000000,0,103251471,412563408,409283604,821847012,161,23,,4165,0,1,76,7.8,,,,,,,,,,,
Despicable Me 3,6/30/2017,12/21/2017,0.561113802,80000000,0,72434025,264624300,770175109,1034799409,175,25,,4535,0,1,49,5.7,,,,,,,,,,,
The Boss Baby,3/31/2017,11/2/2017,0.812439544,0,0,50198902,175003033,323925250,498928283,224,32,,3829,0,1,50,5.4,,,,,,,,,,,
Get Out,2/24/2017,2/15/2018,0.998633531,4500000,0,33377060,176040665,78976664,255017329,294,42,,3143,0,1,84,7.2,,,,,,,,,,,
47 Meters Down,6/16/2017,10/19/2017,0.018362532,5500000,0,11205561,44307192,0,44307192,,,,2471,0,1,52,4.8,,,,,,,,,,,
Valerian,7/21/2017,9/21/2017,0.545672328,177200000,0,17007624,41189488,184684740,225874228,,,,3553,0,1,51,6.4,,,,,,,,,,,
