"display_title" "opening_date" "publication_date" "url" "mpaa_rating" "critics_pick"
"58" "Badrinath Ki Dulhania" "2017-03-10" "2017-03-12" "http://www.nytimes.com/2017/03/12/movies/badrinath-ki-dulhania-review.html" "" 0
"59" "Band Aid" "2017-06-09" "2017-06-01" "http://www.nytimes.com/2017/06/01/movies/band-aid-review.html" "" 0
"60" "Battle of the Sexes" "2017-09-22" "2017-09-21" "http://www.nytimes.com/2017/09/21/movies/review-battle-of-the-sexes-billie-jean-king-bobby-riggs.html" "PG-13" 0
"61" "Baywatch" "2017-05-25" "2017-05-24" "http://www.nytimes.com/2017/05/24/movies/baywatch-review-zac-efron-dwayne-johnson.html" "R" 0
"62" "Beach Rats" "2017-08-25" "2017-08-24" "http://www.nytimes.com/2017/08/24/movies/beach-rats-review.html" "R" 1
"63" "Beatriz at Dinner" "2017-06-09" "2017-06-08" "http://www.nytimes.com/2017/06/08/movies/beatriz-at-dinner-review-salma-hayek.html" "R" 0
"64" "Beauty and the Beast" "2017-03-17" "2017-03-03" "http://www.nytimes.com/2017/03/03/movies/beauty-and-the-beast-review.html" "PG" 1
"65" "Before I Fall" "2017-03-03" "2017-03-01" "http://www.nytimes.com/2017/03/01/movies/before-i-fall-review-zoey-deutch.html" "PG-13" 0
"66" "Ben-Gurion, Epilogue" "2017-03-03" "2017-03-02" "http://www.nytimes.com/2017/03/02/movies/the-settlers-and-ben-gurion-epilogue-reviews.html" "" 0
"67" "Bending the Arc" "2017-10-06" "2017-10-05" "http://www.nytimes.com/2017/10/05/movies/bending-the-arc-review-paul-farmer-partners-in-health.html" "" 0
"68" "Berlin Syndrome" "2017-05-26" "2017-05-25" "http://www.nytimes.com/2017/05/25/movies/berlin-syndrome-review.html" "R" 0
"69" "Betting on Zero" "2017-03-17" "2017-03-16" "http://www.nytimes.com/2017/03/16/movies/betting-on-zero-review.html" "" 0
"70" "Beyond Skyline" "2017-12-15" "2017-12-14" "http://www.nytimes.com/2017/12/14/movies/beyond-skyline-review.html" "R" 0
"71" "Bill Frisell: A Portrait" "2017-12-06" "2017-12-05" "http://www.nytimes.com/2017/12/05/movies/bill-frisell-a-portrait-review.html" "" 1
"72" "Birdboy: The Forgotten Children" "2017-12-15" "2017-12-14" "http://www.nytimes.com/2017/12/14/movies/birdboy-the-forgotten-children-review.html" "" 0
"73" "Birth of the Dragon" "2017-08-25" "2017-08-25" "http://www.nytimes.com/2017/08/25/movies/birth-of-the-dragon-review-bruce-lee.html" "PG-13" 0
"74" "Birthright: A War Story" "2017-07-14" "2017-07-13" "http://www.nytimes.com/2017/07/13/movies/birthright-a-war-story.html" "" 0
"75" "Bitch" "2017-11-10" "2017-11-09" "http://www.nytimes.com/2017/11/09/movies/bitch-review.html" "" 1
"76" "Bitter Harvest" "2017-02-24" "2017-02-23" "http://www.nytimes.com/2017/02/23/movies/bitter-harvest-review.html" "R" 0
"77" "Blade of the Immortal" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/blade-of-the-immortal-review-takashi-miike.html" "R" 0
"78" "Blade Runner 2049" "2017-10-06" "2017-10-02" "http://www.nytimes.com/2017/10/02/movies/blade-runner-2049-review-ryan-gosling-harrison-ford.html" "R" 0
"79" "Blind" "2017-07-14" "2017-07-13" "http://www.nytimes.com/2017/07/13/movies/blind-review-alec-baldwin-demi-moore.html" "R" 0
"80" "Blood Stripe" "2017-09-29" "2017-09-28" "http://www.nytimes.com/2017/09/28/movies/blood-stripe-review.html" "" 0
"81" "Born in China" "2017-04-21" "2017-04-19" "http://www.nytimes.com/2017/04/19/movies/born-in-china-review.html" "G" 0
"82" "Brad's Status" "2017-09-15" "2017-09-14" "http://www.nytimes.com/2017/09/14/movies/brads-status-review-ben-stiller.html" "R" 0
"83" "Brave New Jersey" "2017-08-04" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/brave-new-jersey-review.html" "" 0
"84" "Brawl in Cell Block 99" "2017-10-06" "2017-10-05" "http://www.nytimes.com/2017/10/05/movies/brawl-in-cell-block-99-review-vince-vaughn.html" "Not Rated" 1
"85" "Breathe" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/breathe-review-andrew-garfield-claire-foy-andy-serkis.html" "PG-13" 0
"86" "Bright" "2017-12-22" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/bright-review-will-smith-joel-edgerton.html" "" 0
"87" "Bronx Gothic" "2017-07-12" "2017-07-11" "http://www.nytimes.com/2017/07/11/movies/bronx-gothic-review-okwui-okpokwasili.html" "" 0
"88" "Buena Vista Social Club: Adios" "2017-05-26" "2017-05-24" "http://www.nytimes.com/2017/05/24/movies/buena-vista-social-club-adios-review.html" "PG" 1
"89" "Bugs" "2017-09-27" "2017-09-26" "http://www.nytimes.com/2017/09/26/movies/bugs-review.html" "" 1
"90" "Burden" "2017-05-05" "2017-05-04" "http://www.nytimes.com/2017/05/04/movies/burden-review-chris-burden.html" "" 0
"91" "Bushwick" "2017-08-25" "2017-08-24" "http://www.nytimes.com/2017/08/24/movies/bushwick-review-brittany-snow-dave-bautista.html" "" 0
"92" "Buster's Mal Heart" "2017-04-28" "2017-04-27" "http://www.nytimes.com/2017/04/27/movies/busters-mal-heart-review-rami-malek.html" "" 0
"93" "California Typewriter" "2017-08-18" "2017-08-17" "http://www.nytimes.com/2017/08/17/movies/california-typewriter-review.html" "" 0
"94" "Call Me by Your Name" "2017-11-24" "2017-11-22" "http://www.nytimes.com/2017/11/22/movies/call-me-by-your-name-review-armie-hammer.html" "R" 1
"95" "Camera Obscura" "2017-06-09" "2017-06-08" "http://www.nytimes.com/2017/06/08/movies/camera-obscura-review.html" "" 0
"96" "Can't Stop, Won't Stop: A Bad Boy Story" "2017-06-23" "2017-06-22" "http://www.nytimes.com/2017/06/22/movies/cant-stop-wont-stop-review-sean-combs-bad-boy.html" "" 0
"97" "Canners" "2017-03-01" "2017-03-09" "http://www.nytimes.com/2017/03/09/movies/canners-review.html" "" 0
"98" "Captain Underpants: The First Epic Movie" "2017-06-02" "2017-06-01" "http://www.nytimes.com/2017/06/01/movies/captain-underpants-review.html" "PG" 0
"99" "Cars 3" "2017-06-16" "2017-06-14" "http://www.nytimes.com/2017/06/14/movies/cars-3-review.html" "G" 1
"100" "Casting JonBenet" "2017-04-28" "2017-04-27" "http://www.nytimes.com/2017/04/27/movies/casting-jonbenet-review-jonbenet-ramsey.html" "" 0
"101" "Cezanne and I" "2017-03-31" "2017-03-29" "http://www.nytimes.com/2017/03/29/movies/cezanne-et-moi-review.html" "R" 0
"102" "Chasing Coral" "2017-07-14" "2017-07-13" "http://www.nytimes.com/2017/07/13/movies/chasing-coral-review.html" "" 1
"103" "Chasing Trane: The John Coltrane Documentary" "2017-04-14" "2017-04-13" "http://www.nytimes.com/2017/04/13/movies/chasing-trane-the-john-coltrane-documentary-review.html" "" 0
"104" "Chavela" "2017-10-04" "2017-10-03" "http://www.nytimes.com/2017/10/03/movies/chavela-review.html" "Not Rated" 0
"105" "CHIPS" "2017-03-24" "2017-03-23" "http://www.nytimes.com/2017/03/23/movies/chips-review.html" "R" 0
"106" "Chronically Metropolitan" "2017-08-04" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/chronically-metropolitan-review.html" "" 0
"107" "Chuck" "2017-05-05" "2017-05-03" "http://www.nytimes.com/2017/05/03/movies/chuck-review-liev-schreiber-chuck-wepner.html" "R" 0
"108" "Churchill" "2017-06-02" "2017-05-31" "http://www.nytimes.com/2017/05/31/movies/churchill-review.html" "PG" 0
"109" "Citizen Jane: Battle for the City" "2017-04-21" "2017-04-19" "http://www.nytimes.com/2017/04/19/movies/citizen-jane-battle-for-the-city-review.html" "" 0
"110" "City of Ghosts" "2017-07-07" "2017-07-06" "http://www.nytimes.com/2017/07/06/movies/city-of-ghosts-review.html" "R" 0
"111" "Claire in Motion" "2017-01-13" "2017-01-12" "http://www.nytimes.com/2017/01/12/movies/claire-in-motion-review.html" "" 0
"112" "Coco" "2017-11-22" "2017-11-21" "http://www.nytimes.com/2017/11/21/movies/coco-review-pixar-disney.html" "PG" 0
"113" "Columbus" "2017-08-04" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/columbus-review.html" "" 1
"114" "Company Town" "2017-09-08" "2017-09-07" "http://www.nytimes.com/2017/09/07/movies/company-town-review.html" "" 0
"115" "Cook Off!" "2017-11-17" "2017-11-16" "http://www.nytimes.com/2017/11/16/movies/review-cook-off-melissa-mccarthy.html" "R" 0
"116" "Crash Pad" "2017-09-26" "2017-10-26" "http://www.nytimes.com/2017/10/26/movies/crash-pad-review.html" "R" 0
"117" "Crooked House" "2017-11-21" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/crooked-house-review-glenn-close.html" "PG-13" 0
"118" "Crown Heights" "2017-08-18" "2017-08-17" "http://www.nytimes.com/2017/08/17/movies/crown-heights-review-lakeith-stanfield.html" "R" 0
"119" "Cuba and the Cameraman" "2017-11-24" "2017-11-23" "http://www.nytimes.com/2017/11/23/movies/cuba-and-the-cameraman-review.html" "" 0
"120" "Daddy's Home 2" "2017-11-10" "2017-11-09" "http://www.nytimes.com/2017/11/09/movies/review-in-daddys-home-2-mel-gibson-will-ferrell-mark-wahlberg.html" "PG-13" 0
"121" "Darkest Hour" "2017-11-22" "2017-11-21" "http://www.nytimes.com/2017/11/21/movies/darkest-hour-review-gary-oldman.html" "PG-13" 0
"122" "Darkness Rising" "2017-06-30" "2017-06-29" "http://www.nytimes.com/2017/06/29/movies/darkness-rising-review.html" "" 0
"123" "Dealt" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/dealt-review-richard-turner.html" "" 0
"124" "Dean" "2017-06-02" "2017-05-31" "http://www.nytimes.com/2017/05/31/movies/dean-review-demetri-martin.html" "PG-13" 0
"125" "Death Note" "2017-08-25" "2017-08-24" "http://www.nytimes.com/2017/08/24/movies/death-note-review.html" "" 0
"126" "Desolation" "2017-12-15" "2017-12-14" "http://www.nytimes.com/2017/12/14/movies/desolation-review.html" "" 0
"127" "Despicable Me 3" "2017-06-30" "2017-06-29" "http://www.nytimes.com/2017/06/29/movies/review-despicable-me-3-suggests-a-franchise-running-on-fumes.html" "PG" 0
"128" "Detroit" "2017-08-04" "2017-07-26" "http://www.nytimes.com/2017/07/26/movies/detroit-review.html" "R" 0
"129" "Diary of a Wimpy Kid: The Long Haul" "2017-05-19" "2017-05-17" "http://www.nytimes.com/2017/05/17/movies/review-diary-of-a-wimpy-kid-the-long-haul.html" "PG" 0
"130" "Dig Two Graves" "2017-03-24" "2017-03-23" "http://www.nytimes.com/2017/03/23/movies/dig-two-graves-review.html" "" 0
"131" "Dina" "2017-10-06" "2017-10-05" "http://www.nytimes.com/2017/10/05/movies/dina-review.html" "" 0
"132" "Do It Like An Hombre" "2017-09-01" "2017-08-31" "http://www.nytimes.com/2017/08/31/movies/hazlo-como-hombre-review.html" "R" 0
"133" "Don’t Hang Up" "2017-02-10" "2017-02-09" "http://www.nytimes.com/2017/02/09/movies/dont-hang-up-review.html" "R" 0
"134" "Downsizing" "2017-12-22" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/downsizing-review-matt-damon-kristen-wiig.html" "R" 0
"135" "Drone" "2017-05-26" "2017-05-24" "http://www.nytimes.com/2017/05/24/movies/drone-review.html" "" 0
