display_title	opening_date	close_date	sentiment_score	 production_budget 	 limited_opening_weekend_total_gross 	 wide_release_opening_weekend_total_gross 	 domestic_total_gross 	 foreign_total_gross 	 worldwide_total_gross 	days_in_release	weeks_in_release	limited_release_theater	wide_release_theater	limited_release_dummy	wide_release_dummy	metacritic_score	user_score	 t1 	 t2 	 t3 	 t4 	 t5 	 t6 	 t7 	 t8 	 t9 	 t10 	 t11 
Beauty and the Beast	3/17/2017	7/12/2017	0.980820931	"160,000,000"		"174,750,616"	"504,014,165"	"759,506,961"	"1,263,521,126"	119	17		"4,210"	0	1	65	6.8											
Blade Runner 2049	10/6/2017	2/1/2018	0.997234936	"150,000,000"		"32,753,122"	"92,054,159"	"167,185,499"	"259,239,658"	119	17		4058	0	1	81	8.1											
Captain Underpants: The First Epic Movie	6/2/2017	11/2/2017	0.918267537	"38,000,000"		"23,851,539"	"73,921,000"	"51,506,681"	"125,427,681"	161	23		"3,529"	0	1	69	6.8											
Cars 3	6/16/2017	11/2/2017	0.978736373			"53,688,680"	"152,901,115"	"230,988,036"	"383,889,151"	140	20		"4,256"	0	1	59	6.9											
CHIPS	3/24/2017	5/25/2017	0.037541236	"25,000,000"		"7,722,802"	"18,600,152"	"8,200,000"	"26,800,152"	63	9		"2,464"	0	1	28	4.2											
Coco	11/22/2017		0.998959361			"50,802,605"	"208,986,379"	"540,010,749"	"748,997,128"	114	16.3		"3,987"	0	1	81	8.1											
Daddy's Home 2	11/10/2017	2/15/2017	0.139706696	"69,000,000"		"29,651,193"	"104,029,443"	"76,583,737"	"180,613,180"	98	14		3575	0	1	30	5.6											
Darkest Hour	11/22/2017		0.996478906		"175,006"	"3,891,945"	"56,206,445"	"86,500,000"	"142,706,445"	114	16.3	4	1733	1	0	75	7.2											
Despicable Me 3	6/30/2017	12/21/2017	0.561113802	"80,000,000"		"72,434,025"	"264,624,300"	"770,175,109"	"1,034,799,409"	175	25		"4,535"	0	1	49	5.7											
Diary of a Wimpy Kid: The Long Haul	5/19/2017	8/17/2017	0.096803828	"22,000,000"		"7,126,084"	"20,738,724"	"19,402,248"	"40,140,972"	91	13		"3,174"	0	1	39	3.4											
Downsizing	12/22/2017	2/1/2018	0.874170316	"68,000,000"		"4,954,287"	"24,449,754"	"29,474,360"	"53,924,114"	42	6		"2,668"	0	1	63	5.5											
Dunkirk	7/21/2017	11/23/2017	0.999074015	"100,000,000"		"50,513,488"	"188,373,161"	"337,200,000"	"525,573,161"	126	18		"4,014"	0	1	94	8.4											
"Everything, Everything"	5/19/2017	7/27/2016	0.977952724	"10,000,000"		"11,727,390"	"34,121,140"	"27,500,000"	"61,621,140"	70	10		"2,801"	0	1	52	4.9											
Father Figures	12/22/2017	2/15/2018	0.027943712			"3,287,451"	"17,501,244"	"6,600,000"	"24,101,244"	56	8		"2,902"	0	1	22	3.2											
Ferdinand	12/15/2017		0.860156238	"111,000,000"		"13,401,586"	"83,559,363"	"207,498,632"	"291,057,995"	91	13		"3,630"	0	1	58	6.7											
Fifty Shades Darker	2/10/2017	4/6/2017	0.58011003	"55,000,000"		"46,607,250"	"114,581,250"	"266,547,533"	"381,128,783"	56	8		"3,714"	0	1	33	3											
Fist Fight	2/17/2017	4/13/2017	0.800154686			"12,201,873"	"32,187,017"	"8,900,000"	"41,087,017"	56	8		"3,185"	0	1	37	5.1											
Geostorm	10/20/2017	1/11/2017	0.838389169	"120,000,000"		"13,707,376"	"33,700,160"	"187,700,000"	"221,400,160"	84	12		"3,246"	0	1	21	4											
Get Out	2/24/2017	2/15/2018	0.998633531	"4,500,000"		"33,377,060"	"176,040,665"	"78,976,664"	"255,017,329"	294	42		"3,143"	0	1	84	7.2											
Ghost in the Shell	3/31/2017	5/25/2017	0.948943457	"110,000,000"		"18,676,033"	"40,563,557"	"129,238,364"	"169,801,921"	56	8		"3,440"	0	1	52	6.8											
Gifted	4/7/2017	8/24/2017	0.68094886	"7,000,000"	"446,380"	"3,090,633"	"24,801,212"	"18,245,378"	"43,046,590"	140	20	56	"2,215"	1	0	60	7.6											
Girls Trip	7/21/2017	10/18/2017	0.901928098	"19,000,000"		"31,201,920"	"115,171,585"	"24,901,769"	"140,073,354"	91	13		"2,648"	0	1	71	5.4											
Going in Style	4/7/2017	7/13/2017	0.993806357	"25,000,000"		"11,932,330"	"45,018,541"	"39,900,000"	"84,918,541"	98	14		"3,076"	0	1	50	5.9											
Guardians of the Galaxy Vol. 2	5/5/2017	9/21/2017	0.920377578	"200,000,000"		"146,510,104"	"389,813,101"	"473,942,950"	"863,756,051"	140	20		"4,347"	0	1	67	7.7											
Happy Death Day	10/13/2017	12/14/2017	0.484635514	"4,800,000"		"26,039,025"	"55,683,845"	"66,954,033"	"122,637,878"	63	9		"3,535"	0	1	57	6.6											
Home Again	9/8/2017	11/9/2017	0.223004171	"12,000,000"		"8,567,881"	"27,020,284"		"27,020,284"	63	9		"3,036"	0	1	41	5.5											
How to Be a Latin Lover	4/28/2017	6/22/2017	0.881274117			"12,252,439"	"32,149,404"	"29,731,968"	"61,881,372"	56	8		"1,203"	0	1	54	5.4											
